# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
0444.HK  # SINCEREWATCH HK
0450.HK  # HUNG HING PRINT
0451.HK  # DYNASTY DIGITAL
0455.HK  # TIANDA PHARMA
0456.HK  # NEW CITY DEV
0458.HK  # TRISTATE HOLD
0460.HK  # SIHUAN PHARM
0464.HK  # CHINA IN-TECH
0465.HK  # FUTONG TECH
0467.HK  # UNITEDENERGY GP
0468.HK  # GAPACK
0470.HK  # WUXI LEAD
0471.HK  # SILKWAVE INC
0472.HK  # NEW SILKROAD
0474.HK  # ACESO LIFE SCI
0475.HK  # CENTRAL DEV H
0476.HK  # EV DYNAMICS
0480.HK  # HKR INT'L
0482.HK  # SANDMARTIN INTL
0483.HK  # BAUHAUS INT'L
0484.HK  # FORGAME
0485.HK  # CHINASINOSTAR
0486.HK  # RUSAL
0487.HK  # SUCCESSUNIVERSE
0488.HK  # LAI SUN DEV
0491.HK  # EMPEROR CULTURE
0493.HK  # GOME RETAIL
0496.HK  # KASEN
0497.HK  # CSI PROPERTIES
0498.HK  # BLUE RIVER HLDG
0499.HK  # QINGDAO HLDGS
0500.HK  # FRONTIER SER
0501.HK  # OMNIVISION
0505.HK  # XINGYE ALLOY
0506.HK  # CHINA FOODS
0508.HK  # DINGYI GP INV
0509.HK  # SUNSHINE
0510.HK  # CASH FIN SER GP
0511.HK  # TVB
0512.HK  # GRAND PHARMA
0513.HK  # CONTINENTAL H
0515.HK  # CHINASILVER TEC
0517.HK  # COSCO SHIP INTL
0518.HK  # TUNGTEX (HOLD)
0519.HK  # NOVAUTEK
0520.HK  # XIABUXIABU
0521.HK  # CWT INT'L
0522.HK  # ASMPT
0524.HK  # GW TERROIR
0525.HK  # GUANGSHEN RAIL
0526.HK  # LISI GP HOLD
0527.HK  # RF GREEN EN AI
0528.HK  # KINGDOM HOLDING
0529.HK  # SIS INT'L
0532.HK  # WKK INTL (HOLD)
0533.HK  # GOLDLION HOLD
0535.HK  # GEMDALE PPT
0536.HK  # TRADELINK
0537.HK  # RIGOL
0538.HK  # AJISEN (CHINA)
0540.HK  # SPEEDY GLOBAL
0542.HK  # CN CULTURAL T&A
0543.HK  # PACIFIC ONLINE
0544.HK  # DAIDO GROUP
0546.HK  # FUFENG GROUP
0547.HK  # DIGITAL DOMAIN
0548.HK  # SHENZHENEXPRESS
0550.HK  # ALLEGRO CULTURE
0551.HK  # YUE YUEN IND
0552.HK  # CHINACOMSERVICE
0553.HK  # NANJING PANDA
0554.HK  # HANS GP HLDGS
0556.HK  # PAN ASIA ENVIRO
0557.HK  # TIANYUAN HEALTH
0558.HK  # LK TECH
0559.HK  # DETAI NEWENERGY
0560.HK  # CHU KONG SHIP
0563.HK  # SH IND URBAN
0564.HK  # ZCZL
0565.HK  # ART GROUP HOLD
0567.HK  # JSMART TECH
0568.HK  # SHANDONG MOLONG
0570.HK  # TRAD CHI MED
0571.HK  # ESUN HOLDINGS
0572.HK  # FW HOLDINGS
0573.HK  # TAO HEUNG HLDGS
0574.HK  # PASHUN INT'L
0575.HK  # REGENT PACIFIC
0576.HK  # ZHEJIANGEXPRESS
0579.HK  # JNCEC
0580.HK  # SUN.KING TECH
0581.HK  # CHINA ORIENTAL
0582.HK  # SHIN HWA WORLD
0583.HK  # GWPA HOLDINGS
0585.HK  # IMAGI INT'L
0586.HK  # CONCH VENTURE
0587.HK  # CONCH ENVIRO
0588.HK  # BEIJING N STAR
0590.HK  # LUK FOOK HOLD
0591.HK  # C HIGHPRECISION
0595.HK  # AV CONCEPT HOLD
0596.HK  # INSPUR DIGI ENT
0598.HK  # SINOTRANS
0599.HK  # E. BON HOLDINGS
0600.HK  # AXERA
0601.HK  # REMT
0602.HK  # JIAHUA STORES H
0603.HK  # CHINA OIL & GAS
0604.HK  # SHENZHEN INVEST
0605.HK  # C FIN SERVICES
0606.HK  # SCE CM
0607.HK  # FULLSHARE
0608.HK  # HIGH FASHION
0609.HK  # TIANDE CHEMICAL
0610.HK  # WAI KEE HOLD
0611.HK  # CNE TECH CORP
0612.HK  # CARMEN CENTURY
0613.HK  # PLANETREE INT'L
0616.HK  # ASSET CHAIN
0617.HK  # PALIBURG HOLD
0618.HK  # PKU RESOURCES
0619.HK  # SOUTH CHINA FIN
0620.HK  # DTXS SILK ROAD
0621.HK  # TAUNG GOLD
0622.HK  # OSHIDORI
0623.HK  # GOLDENBRIDGE GP
0625.HK  # SHEIN-W
0626.HK  # PUBLIC FIN HOLD
0627.HK  # VISION SYNERGY
0628.HK  # TONGTONG AI SOC
0629.HK  # YUE DA INTL
0630.HK  # AMCO UNITED
0631.HK  # SANY INT'L
0632.HK  # CHK OIL
0635.HK  # PLAYMATES
0636.HK  # KLN
0637.HK  # LEE KEE
0638.HK  # FIBOCOM
0639.HK  # SHOUGANG RES
0640.HK  # INFINITY DEV
0641.HK  # CHTC FONG'S INT
0643.HK  # CARRY WEALTH
0645.HK  # ARES ASIA
0646.HK  # CHINA ENV TEC
0648.HK  # SOFTMEDX
0650.HK  # PRODUCTIVE TECH
0653.HK  # BONJOUR HOLD
0655.HK  # HK CHINESE LTD
0656.HK  # FOSUN INTL
0657.HK  # G-VISION INT'L
0658.HK  # C TRANSMISSION
0659.HK  # CTF SERVICES
0660.HK  # WAI CHUN BIOTEC
0661.HK  # CDAYENONFER
0662.HK  # ASIA FINANCIAL
0664.HK  # TONGSHIFU
0666.HK  # REPT BATTERO
0667.HK  # CHINA EAST EDU
0668.HK  # ANKER
0669.HK  # TECHTRONIC IND
0670.HK  # CHINA EAST AIR
0672.HK  # ZHONGAN GROUP
0673.HK  # CHINA HEALTH
0674.HK  # CHINA TANGSHANG
0675.HK  # K & P INT'L
0676.HK  # PEGASUS INT'L
0677.HK  # GOLDEN RES DEV
0679.HK  # ASIA TELE-NET
0681.HK  # CHI PEOPLE HOLD
0682.HK  # CHAODA MODERN
0683.HK  # KERRY PPT
0684.HK  # ALLAN INT'L
0685.HK  # MEDIA CHINESE
0686.HK  # BJ ENERGY INTL
0687.HK  # TYSAN HOLDINGS
0688.HK  # CHINA OVERSEAS
0689.HK  # EPI (HOLDINGS)
0690.HK  # UNI-BIO GROUP
0691.HK  # SHANSHUI CEMENT
0693.HK  # TAN CHONG INT'L
0694.HK  # BEIJING AIRPORT
0695.HK  # DONGWU CEMENT
0696.HK  # TRAVELSKY TECH
0697.HK  # SHOUCHENG
0698.HK  # TONGDA GROUP
0699.HK  # JOYSON ELEC
0700.HK  # TENCENT
0701.HK  # CNT GROUP
0702.HK  # SINO OIL & GAS
0703.HK  # FUTURE BRIGHT
0704.HK  # HUSCOKE HLDGS
0707.HK  # ATV HOLDINGS
0708.HK  # EVERG VEHICLE
0709.HK  # GIORDANO INT'L
0710.HK  # BOE VARITRONIX
0711.HK  # ASIA ALLIED INF
0712.HK  # COMTEC SOLAR
0713.HK  # WORLD HOUSEWARE
0716.HK  # SINGAMAS CONT
0717.HK  # EMPEROR CAPITAL
0718.HK  # TAI UNITED HOLD
0719.HK  # SHANDONG XINHUA
0720.HK  # AUTO ITALIA
0721.HK  # C FIN INT INV
0722.HK  # UMP
0723.HK  # RELIANCE GLO HL
0725.HK  # PERENNIAL INT'L
0726.HK  # DIT GROUP
0727.HK  # SINOPROS CORP
0728.HK  # CHINA TELECOM
0730.HK  # CAPITAL IND FIN
0731.HK  # C&D NEWIN
0732.HK  # TRULY INT'L
0733.HK  # HOPEFLUENT
0736.HK  # CHINA PPT INV
0737.HK  # BAY AREA DEV
0738.HK  # LE SAUNDA
0743.HK  # ASIA CEMENT CH
0745.HK  # CN CULTURE GP
0746.HK  # L & M CHEMICAL
0747.HK  # SHENYANG PUBLIC
0750.HK  # SFSY ENERGY
0751.HK  # SKYWORTH GROUP
0752.HK  # PICO FAR EAST
0753.HK  # AIR CHINA
0754.HK  # HOPSON DEV HOLD
0755.HK  # DEVGREAT
0756.HK  # SUMMI
0757.HK  # SOLARGIGA
0759.HK  # CEC INT'L HOLD
0760.HK  # TALENT PPT GP
0762.HK  # CHINA UNICOM
0763.HK  # ZTE
0764.HK  # ETERNITY INV
0765.HK  # PERFECTECH INTL
0767.HK  # ZHONG JI LS
0768.HK  # UBA INVESTMENTS
0769.HK  # CHINA RAREEARTH
0771.HK  # AUTOMATED SYS
0772.HK  # CHINA LIT
0775.HK  # CKLIFE SCIENCES
0776.HK  # IMPERIUM TEC GP
0777.HK  # NETDRAGON
0778.HK  # FORTUNE REIT
0780.HK  # TONGCHENGTRAVEL
0784.HK  # AILIFE INTL
0788.HK  # CHINA TOWER
0789.HK  # ARTINI HLDG
0794.HK  # COME SURE GROUP
0797.HK  # 7ROAD
0798.HK  # CEOVU
0799.HK  # IGG
0800.HK  # WERIDE-W
0804.HK  # PINESTONE
0805.HK  # NEW GONOW RV
0806.HK  # VALUE PARTNERS
0807.HK  # SIICENVIRONMENT
0808.HK  # PROSPERITY REIT
0809.HK  # GLOBAL BIO-CHEM
0810.HK  # CH CASTSON 81
0811.HK  # XINHUA WINSHARE
0813.HK  # SHIMAO GROUP
0814.HK  # JINGKELONG
