# Every HKEX-listed equity + REIT (HKD counters), from HKEX's List of Securities.
8132.HK  # CENTURY EN INTL
8133.HK  # JISHENG GP HLDG
8136.HK  # IMS GROUP
8137.HK  # HONBRIDGE
8139.HK  # CHANGAN RH
8140.HK  # BOSATECH
8143.HK  # GF HEALTHCARE
8146.HK  # GRACEWINE
8147.HK  # YUNJING DIGITEC
8148.HK  # WUXI LIFE
8149.HK  # ALTUS HLDGS
8152.HK  # M&L HOLDINGS
8153.HK  # JIADING INTL GP
8156.HK  # SINOPHARM TECH
8158.HK  # CRMI
8159.HK  # CU VENTURE INV
8160.HK  # GOLDWAY EDU
8161.HK  # MEDINET GROUP
8162.HK  # LOCO HK
8163.HK  # NOIZ GROUP
8168.HK  # AMASSE CAPITAL
8169.HK  # ECO-TEK HLDGS
8172.HK  # LAJIN ENT
8173.HK  # HEPHAESTUS HLDG
8176.HK  # SUPERROBOTICS
8178.HK  # CHINA INFO TECH
8179.HK  # PALINDA GROUP
8181.HK  # KS SMART MGMT
8186.HK  # HONOR MATRIX
8187.HK  # JIMU GROUP
8188.HK  # GME GROUP
8189.HK  # TEDA BIOMEDICAL
8191.HK  # HONG WEI ASIA
8193.HK  # ASIAPAC FIN INV
8195.HK  # LEGENDARY EDU
8196.HK  # FUTIAN HOLDINGS
8198.HK  # CRYPTO FLOW
8200.HK  # SAU SAN TONG
8201.HK  # PPS INT'L
8203.HK  # KAISUN HOLDINGS
8205.HK  # JIAODA WITHUB
8206.HK  # S ROBOT EDU
8208.HK  # RADIANCE GLO GP
8210.HK  # DLC ASIA
8213.HK  # STARGLORY HLDGS
8217.HK  # JU FU TANG BIOT
8218.HK  # ECHO INT HOLD
8219.HK  # HANVEY GROUP
8220.HK  # BINGO GROUP
8221.HK  # GAOYU FINANCE
8222.HK  # E LIGHTING
8223.HK  # ZYY
8225.HK  # C HEALTH GP
8226.HK  # KOALA FIN GP
8227.HK  # HAITIAN ANTENNA
8229.HK  # FUTURE DATA
8232.HK  # THAC GROUP
8237.HK  # LINK HOLDINGS
8238.HK  # JIUFANG DIGITAL
8239.HK  # CAPITAL FIN
8241.HK  # YING KEE TEA
8245.HK  # CANOPY SKYFIRE
8246.HK  # ZHONGHUA GAS
8247.HK  # BIOSINO BIO-TEC
8249.HK  # RUIYUAN IC TECH
8250.HK  # DU DU HLDGS
8262.HK  # SUPER STRONG
8267.HK  # LINEKONG
8268.HK  # SMART CITY DEV
8269.HK  # GO UP EDU TECH
8270.HK  # CHINA CBM
8271.HK  # GDC
8275.HK  # CHINA NEW CONS
8277.HK  # STEEDORIENTAL
8279.HK  # AGTECH HOLDINGS
8280.HK  # CDV HOLDINGS
8281.HK  # CH GOLD CLASSIC
8282.HK  # GAMEONE
8283.HK  # ZHONGSHI MINAN
8285.HK  # SLING GROUP
8286.HK  # CCOE
8290.HK  # AHSAY BACKUP
8291.HK  # HK ENT INTL
8292.HK  # VSING
8293.HK  # SINGASIA HLDG
8295.HK  # KINGWISOFT TECH
8296.HK  # SINO-LIFE GROUP
8297.HK  # OCEAN STAR TECH
8299.HK  # GT GOLD
8300.HK  # JIN MI FANG GP
8305.HK  # ST HLDGS
8307.HK  # MEDICSKIN
8308.HK  # GUDOU HLDGS
8309.HK  # MANSHING GLOBAL
8310.HK  # YANCHENG PORT
8311.HK  # PERFECT OPT
8313.HK  # ZACD
8315.HK  # CEN PLAZA HOTEL
8316.HK  # CHINA HONGBAO
8317.HK  # FINET GROUP
8319.HK  # EXPERT SYS
8320.HK  # AEC GROUP
8321.HK  # TAI KAM HLDGS
8326.HK  # TK NEW ENERGY
8328.HK  # XY ELEC STORAGE
8329.HK  # NEP INTERLONG
8331.HK  # P.B. GROUP
8333.HK  # ASTRUM FIN
8337.HK  # DIRECTEL
8340.HK  # ZIJING INTL FIN
8341.HK  # AESO HOLDING
8347.HK  # F8 ENT
8348.HK  # BINHAI TEDA
8349.HK  # GUIXIN GROUP
8350.HK  # WELL LINK SEC
8356.HK  # TSUN YIP HLDGS
8357.HK  # REPUBLIC HC
8360.HK  # BASIC H NEWLIFE
8362.HK  # WINNING TOWER
8365.HK  # HATCHER GROUP
8366.HK  # ZJ UNITED INV
8367.HK  # SIMPLICITY HLDG
8368.HK  # CREATIVE CHINA
8370.HK  # ZHI SHENG GP
8371.HK  # TASTEGOURMET GP
8372.HK  # GBG HOLDINGS
8373.HK  # INDIGO STAR
8375.HK  # DATA UNION CAP
8377.HK  # HARBOUR EQUINE
8379.HK  # PRIME INTEL
8385.HK  # PROSPEROUSPRINT
8391.HK  # CORNERSTONE TEC
8392.HK  # SATU HOLDINGS
8395.HK  # ZXZN QI-HOUSE
8400.HK  # ASIA PIONEER
8401.HK  # HUA XIA WATER
8402.HK  # PLATEAU TL
8403.HK  # DEFENG SOLIFE
8406.HK  # CHINA ORAL IND
8411.HK  # K W NELSON GP
8412.HK  # NEW AMANTE
8413.HK  # ASIA GROCERY
8416.HK  # HM INTL HLDGS
8417.HK  # DADI EDU
8418.HK  # OPTIMA AUTO
8419.HK  # AV PROMOTIONS
8420.HK  # NEXION TECH
8422.HK  # WT GROUP
8423.HK  # CHI HO DEV
8425.HK  # HING MING HLDGS
8426.HK  # MODERN LIVING
8427.HK  # WS-SK TARGET
8428.HK  # CBK HOLDINGS
8429.HK  # SV VISION
8430.HK  # C&N HOLDINGS
8431.HK  # HAO BAI INTL
8432.HK  # BAR PACIFIC
8436.HK  # TAKBO GROUP
8437.HK  # RMH HOLDINGS
8439.HK  # SOMERLEY CAP
8445.HK  # NOBLE ENG GP
8446.HK  # BRIGHTSTAR TECH
8447.HK  # MS CONCEPT
8448.HK  # UNI PRINTSHOP
8450.HK  # EDICO HOLDINGS
8451.HK  # SUNLIGHT HLDGS
8452.HK  # FY FINANCIAL
8455.HK  # LAI GROUP
8456.HK  # MANSION INTL
8460.HK  # BASETROPHY GP
8462.HK  # OMNIBRIDGE HLDG
8471.HK  # REACH NEW HLDGS
8472.HK  # LAPCO HOLDINGS
8473.HK  # MI MING MART
8475.HK  # E-STATION GTECH
8480.HK  # FURNIWEB
8481.HK  # SHENGLONG INTL
8482.HK  # WAN LEADER
8483.HK  # MAX SIGHT GROUP
8487.HK  # ISP GLOBAL
8489.HK  # GP LOGISTICS
8490.HK  # NICHE-TECH SEMI
8491.HK  # COOL LINK
8493.HK  # S. DRAGON
8495.HK  # 1957 & CO.
8496.HK  # GLOBAL UIN
8500.HK  # ICONCULTURE
8501.HK  # SANBASE CORP
8502.HK  # OCEAN LINE PORT
8507.HK  # I.CENTURY HLDG
8509.HK  # WINE'S LINK
8510.HK  # TOPSTANDARDCORP
8511.HK  # MIN FU INTL
8512.HK  # HYFUSIN GROUP
8513.HK  # MAXWIN INT HLDG
8516.HK  # ZY INTL
8519.HK  # XINXIANG ERA
8521.HK  # WEBX INTL HLDGS
8525.HK  # BAIYING HOLDING
8526.HK  # WING FUNG GROUP
8527.HK  # JLOGO HLDGS
8529.HK  # UBOT HOLDING
8532.HK  # POLYFAIR HLDGS
8535.HK  # VISTAR HOLDINGS
8536.HK  # TL NATURAL GAS
8537.HK  # CHONG FAI JEWEL
8540.HK  # VICTORY SEC
8545.HK  # AMUSE GROUP
8547.HK  # PACIFIC LEGEND
8549.HK  # GOLDEN LEAF INT
8581.HK  # HK ENT INTL RTS
8601.HK  # BOLTEK
8606.HK  # KINETIX SYSTEMS
8610.HK  # BBSB INTL
8611.HK  # JUFEEL
8612.HK  # WORLD SUPER
8613.HK  # ORIENTAL PAY
8616.HK  # SUNRAY ENG GP
8619.HK  # NIU HOLDINGS
8620.HK  # AE LOGISTICS
8621.HK  # METROPOLIS CAP
8622.HK  # JOYZYME GROUP
8623.HK  # CHINA SAFTOWER
8627.HK  # ORANGE TOUR
8629.HK  # SYNTRUST GK
8631.HK  # SUN KONG HLDGS
8635.HK  # ELEPHANT HLDGS
8637.HK  # METASURFACE
8645.HK  # BYTE META
8646.HK  # CHINA HONGGUANG
8657.HK  # TRUE PARTNER
8659.HK  # YIK WO INTL
8668.HK  # YING HAI GROUP
9600.HK  # NEWLINK TECH
9606.HK  # DUALITYBIO-B
9608.HK  # SUNDY SERVICE
9609.HK  # HAIWEI ELEC
9611.HK  # LONGCHEER
9615.HK  # MECH-MIND ROBOT
9616.HK  # NEUTECH GROUP
9618.HK  # JD-SW
9626.HK  # BILIBILI-W
9630.HK  # CFMEE
9633.HK  # NONGFU SPRING
9636.HK  # JF SMARTINVEST
9637.HK  # ALEBUND-B
9638.HK  # FERRETTI
9639.HK  # WING LEE DEV
9658.HK  # SUPER HI
9660.HK  # HORIZONROBOT-W
9663.HK  # SINOSYNERGY
9668.HK  # CBHB
9669.HK  # BEISEN HOLDING
9676.HK  # SHIYUE DAOTIAN
9677.HK  # WEIHAI BANK
9678.HK  # UNISOUND
9680.HK  # CHENQI TECH
9686.HK  # XIKANG CLOUD
9688.HK  # ZAI LAB
9689.HK  # JTF INTL
9690.HK  # TUHU-W
9696.HK  # TIANQI LITHIUM
9698.HK  # GDS-SW
9699.HK  # SF INTRA-CITY
9857.HK  # LINMON MEDIA
9858.HK  # YOURAN DAIRY
9860.HK  # ADICON HOLDINGS
9863.HK  # LEAPMOTOR
9866.HK  # NIO-SW
9868.HK  # XPENG-W
9869.HK  # HELENS
9876.HK  # OCEAN ONE HLDG
9877.HK  # JENSCARE-B
9878.HK  # HUITONGDA NET
9879.HK  # MIGAO GROUP
9880.HK  # UBTECH ROBOTICS
9881.HK  # RONGTA TECH
9882.HK  # BEST LINKING
9885.HK  # YSB
9886.HK  # DINGDANG HEALTH
9887.HK  # LEADS BIOLABS-B
9888.HK  # BIDU-W
9889.HK  # DRCB
9890.HK  # TANWAN
9893.HK  # PIZU GROUP
9896.HK  # MNSO
9898.HK  # WB-SW
9899.HK  # NETEASE MUSIC
9900.HK  # ZCLOUD TECH CON
9901.HK  # NEW ORIENTAL-S
9903.HK  # ILUVATAR COREX
9906.HK  # HONLIV HEALTH
9908.HK  # JIAXING GAS
9909.HK  # POWERLONG CM
9911.HK  # NEWBORNTOWN
9913.HK  # CHI KAN HLDGS
9916.HK  # XINGYE WULIAN
9918.HK  # WISE ALLY INTL
9919.HK  # ACTIVATION GP
9922.HK  # JIUMAOJIU
9923.HK  # YEAHKA
9926.HK  # AKESO
9927.HK  # SERES
9928.HK  # TIMES NEIGHBOR
9929.HK  # SEM HLDGS
9930.HK  # HORIZON CD
9933.HK  # GHW INTL
9936.HK  # XIMEI RESOURCES
9938.HK  # WAH WO HOLDINGS
9939.HK  # KINTOR PHARMA-B
9955.HK  # CLOUDR
9958.HK  # LITIAN PICTURES
9959.HK  # LINKLOGIS-W
9960.HK  # KINDSTAR GLOBAL
9961.HK  # TRIP.COM-S
9963.HK  # TRANSTECH OPTEL
9966.HK  # ALPHAMAB-B
9968.HK  # HUIJING HLDGS
9969.HK  # INNOCARE
9971.HK  # BASICSEMI
9973.HK  # CHERY AUTO
9976.HK  # LONGSYS
9978.HK  # FINELAND LIVING
9979.HK  # GREENTOWN MGMT
9980.HK  # EASTROC
9981.HK  # WOER
9982.HK  # CENTRALCHINA MT
9983.HK  # CC NEW LIFE
9985.HK  # WL DELICIOUS
9986.HK  # DASHAN EDU
9987.HK  # YUM CHINA
9988.HK  # BABA-W
9989.HK  # HEPALINK
9990.HK  # ARCHOSAUR GAMES
9991.HK  # BAOZUN-W
9992.HK  # POP MART
9993.HK  # RADIANCE HLDGS
9995.HK  # REMEGEN
9996.HK  # PEIJIA-B
9998.HK  # KWAN YONG
9999.HK  # NTES
